monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,region,Cooking Allowed,Sauna,Gymnasium,Multipurpose hall,Minimart,Internet,Squash Court,Jogging Track,Club house,Washing Machine,Security,Barbeque area,Lift,Air-Cond,Playground,Swimming Pool,Tennis Court,Near KTM/LRT,location_bin
2200.0,Cheras,Condominium,3,2.0,2.0,850,2,Kuala Lumpur,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,3
1600.0,Bandar Damai Perdana,Service Residence,3,2.0,2.0,1020,1,Kuala Lumpur,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,4
1300.0,Setapak,Service Residence,3,1.0,2.0,926,0,Kuala Lumpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2400.0,Setapak,Condominium,3,2.0,2.0,1313,1,Kuala Lumpur,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,4
1400.0,Cheras,Service Residence,3,0.0,2.0,850,0,Kuala Lumpur,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
1200.0,Sungai Besi,Condominium,3,1.0,2.0,800,0,Kuala Lumpur,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4
1800.0,Setapak,Condominium,3,1.0,2.0,1066,2,Kuala Lumpur,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,4
1400.0,Cheras,Studio,1,1.0,1.0,450,2,Kuala Lumpur,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,3
1800.0,Cheras,Condominium,3,1.0,2.0,850,1,Kuala Lumpur,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,3
550.0,Setapak,Service Residence,4,1.0,3.0,1300,1,Kuala Lumpur,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,4
1000.0,Bukit Jalil,Apartment,3,1.0,2.0,800,1,Kuala Lumpur,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,3
1500.0,Jalan Kuching,Condominium,3,1.0,2.0,1100,1,Kuala Lumpur,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,5
1600.0,Jalan Kuching,Condominium,3,1.0,2.0,1100,2,Kuala Lumpur,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,5
1400.0,Sentul,Apartment,3,1.0,2.0,650,1,Kuala Lumpur,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,4
1800.0,Kuchai Lama,Condominium,3,1.0,2.0,1200,2,Kuala Lumpur,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,4
1100.0,Cheras,Service Residence,2,1.0,2.0,650,0,Kuala Lumpur,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,3
1488.0,Cheras,Service Residence,3,1.0,2.0,819,1,Kuala Lumpur,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,3
1500.0,Setapak,Condominium,3,1.0,2.0,850,0,Kuala Lumpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
